,time [s],altitude [m],ground_distance [m],mass [kg],true_airspeed [m/s],equivalent_airspeed [m/s],mach [-],engine_setting,CL [-],CD [-],drag [N],thrust [N],thrust_rate [-],thrust_is_regulated,sfc [kg/N/s],name,gamma [rad],alpha [deg],CL_wing [-],CL_htp [-],battery_power [W],motor_input_power [W],powertrain_power_input [W],l_d_ratio,CD_tot,CD0,CD0_flaps,CD_ind_wing,CD_ind_htp,cd_delta_e,rpm [rpm],shaft_power [W]
60,240.0,1141.0287577931206,11917.722602700707,1435.9726081477654,51.28687975230086,48.51858009762658,0.1526907432972819,2,1.2066638262759741,,,2272.448525187073,1.0,False,,sizing:main_route:climb,0.09377946750175836,8.131761842764014,1.0388929464168064,0.16777087985916772,156139.329906548,12496.351036854056,,14.867416379707196,0.08200105881508313,0.03419019813706738,0.0,0.04182413530805722,0.005931461136204061,5.526423375446154e-05,4078.144872640702,11739.697216505412
61,244.0,1160.2391959839974,12121.96868863663,1435.9726081477654,51.33510820923559,48.51825138760229,0.15286832960082025,2,1.2066843283221569,,,2272.206453458284,1.0,False,,sizing:main_route:climb,0.0937628645113175,8.131991104950457,1.0389094577228335,0.1677748705993234,156150.87534418766,12497.275056713152,,14.867512387454353,0.08200145234048327,0.03419019813706738,0.0,0.041824166196335465,0.005931821486338832,5.5266520741594406e-05,4081.875751990525,11739.694519189932
62,248.0,1179.4643047375646,12326.407159945427,1435.9726081477654,51.38343961635199,48.51792152122596,0.15304633517017746,2,1.2067049306147355,,,2271.962033967288,1.0,False,,sizing:main_route:climb,0.09374610256242064,8.132221889735584,1.0389260455809104,0.1677788850338251,156162.45283729976,12498.201642078557,,14.867609800423546,0.08200184066380113,0.03419019813706738,0.0,0.04182418956617297,0.0059321841288243705,5.526883173639417e-05,4085.6135199171736,11739.692045477625
63,252.0,1198.7040836911553,12531.03843022134,1435.9726081477654,51.43187424185293,48.51759049355691,0.15322476122368678,2,1.2067256334261676,,,2271.715264706518,1.0,False,,sizing:main_route:climb,0.0937291815204585,8.132454200013665,1.038942710222441,0.1677829232037268,156174.06257264788,12499.130807897584,,14.86770862048726,0.0820022237937964,0.03419019813706738,0.0,0.04182420542242882,0.005932549067455393,5.527116684480066e-05,4089.3581933512432,11739.689803431282
64,256.0,1217.9585324423656,12735.862914138092,1435.9726081477654,51.480412354742356,48.51725829962946,0.15340360898378216,2,1.2067464370329248,,,2271.4661436831984,1.0,False,,sizing:main_route:climb,0.0937121012511625,8.132688038649599,1.038959451876131,0.1677869851567938,156185.70473853475,12500.062569240732,,14.86780884936618,0.08200260173950401,0.03419019813706738,0.0,0.04182421376981424,0.005932916306489657,5.5273526132708694e-05,4093.109789279031,11739.687801211116
65,260.0,1237.227650548853,12940.88102745208,1435.9726081477654,51.52905422482903,48.51692493445405,0.1535828796770167,2,1.206767341712189,,,2271.2146689193632,1.0,False,,sizing:main_route:climb,0.09369486161965496,8.132923408505231,1.0389762707708172,0.16779107094137174,156197.37952480654,12500.996941302017,,14.86791048841711,0.08200297451006608,0.03419019813706738,0.0,0.041824214613112934,0.005933285850222972,5.527590966278746e-05,4096.868324742747,11739.686047074987
66,264.0,1256.5114375279438,13146.093187005627,1435.9726081477654,51.57780012272785,48.51659039301649,0.1537625745340735,2,1.20678834774557,,,2270.960838451928,1.0,False,,sizing:main_route:climb,0.0936774624937582,8.133160312485106,1.0389931671403971,0.16779518060517282,156209.0871228571,12501.933939399329,,14.868013539369766,0.08200334211505603,0.03419019813706738,0.0,0.04182420795756738,0.0059336577029148645,5.52783175064031e-05,4100.633816840651,11739.684549378648
67,268.0,1275.809892856909,13351.49981073017,1435.9726081477654,51.62665031986519,48.51625467027974,0.15394269478979009,2,1.2068094554144408,,,2270.704650332691,1.0,False,,sizing:main_route:climb,0.09365990374260574,8.133398753488724,1.039010141218682,0.1677993141957587,156220.8277256324,12502.87357897478,,14.868118004017072,0.08200370456408959,0.03419019813706738,0.0,0.04182419380847529,0.005934031868811461,5.5280749735465516e-05,4104.406282727372,11739.683316575956
68,272.0,1295.1230159729653,13557.101317649502,1435.9726081477654,51.6756050884737,48.515917761175956,0.1541232416831506,2,1.2068306650029186,,,2270.4461026286363,1.0,False,,sizing:main_route:climb,0.09364218523466944,8.133638734411987,1.0390271932395956,0.1678034717633231,156232.60152763568,12503.815875595108,,14.868223883770455,0.08200406186702665,0.03419019813706738,0.0,0.04182417217121125,0.0059344083523407,5.528320640732369e-05,4108.185739613977,11739.682357219228
69,276.0,1314.4508062728596,13762.898127882998,1435.9726081477654,51.724664701608106,48.51557966061952,0.15430421645733994,2,1.2068519767839088,,,2270.185193421556,1.0,False,,sizing:main_route:climb,0.09362430684098076,8.133880258131779,1.0390443234354467,0.16780765334846193,156244.40872493075,12504.760844951956,,14.868331180384136,0.08200441403302887,0.03419019813706738,0.0,0.04182414305108202,0.0059347871572490935,5.528568763037034e-05,4111.9722047683945,11739.681679959322
